,w1,w2,w3,w4,A,Y,Y.1,Y.0
134,1,1,1,2,0,0,1,0
135,1,0,1,5,0,0,1,0
136,1,1,4,2,1,1,1,0
137,1,1,0,2,0,1,0,1
138,1,1,2,2,0,1,1,1
139,1,0,2,1,0,0,1,0
140,1,1,3,3,0,0,1,0
141,0,1,4,0,0,0,0,0
142,1,0,2,3,0,1,1,1
143,1,1,3,0,0,0,0,0
144,0,1,4,4,1,1,1,1
145,0,1,3,4,1,1,1,1
146,0,1,3,4,1,1,1,1
147,1,1,2,5,0,1,1,1
148,1,0,3,3,0,1,1,1
149,0,1,4,0,0,0,1,0
150,0,1,2,2,0,0,0,0
151,0,1,3,1,0,0,1,0
152,0,1,4,4,0,1,1,1
153,0,1,0,5,0,0,1,0
154,0,0,0,2,0,0,1,0
155,0,1,4,3,0,1,1,1
156,1,1,1,2,0,1,1,1
157,0,1,4,4,0,1,1,1
158,0,1,0,1,0,1,1,1
159,1,1,0,3,0,0,1,0
160,1,1,3,2,1,1,1,1
161,1,1,0,1,0,0,0,0
162,1,1,1,4,0,1,1,1
163,1,1,4,0,0,1,1,1
164,0,1,3,4,0,1,1,1
165,0,0,1,3,0,1,1,1
166,0,1,2,2,0,1,1,1
167,0,0,4,3,1,1,1,0
168,1,1,3,1,0,1,1,1
169,0,0,1,0,1,0,0,0
170,0,0,3,4,0,1,1,1
171,1,1,2,1,0,1,1,1
172,0,0,0,1,0,0,0,0
173,1,1,1,3,0,1,1,1
174,0,1,3,1,0,0,1,0
175,1,0,1,3,0,0,1,0
176,0,1,2,4,0,1,1,1
177,1,1,3,4,1,1,1,1
178,1,1,2,3,0,1,1,1
179,1,0,3,3,0,0,1,0
180,1,1,0,2,0,0,1,0
181,1,1,3,1,0,0,1,0
182,1,1,3,4,0,1,1,1
183,1,0,1,1,0,1,1,1
184,1,0,2,4,0,1,1,1
185,0,0,1,3,0,1,0,1
186,0,1,2,5,0,1,1,1
187,0,0,2,2,0,1,1,1
188,0,1,0,2,0,1,1,1
189,0,1,4,1,0,1,1,1
190,1,1,1,2,0,0,1,0
191,1,1,1,4,0,0,1,0
192,1,1,3,2,0,1,1,1
193,0,1,2,2,0,0,1,0
194,1,1,1,2,0,1,1,1
195,0,0,3,2,1,1,1,1
196,1,1,3,2,0,1,1,1
197,0,0,1,3,0,0,1,0
198,1,0,0,2,0,0,1,0
199,0,0,2,1,0,0,0,0
200,0,1,0,0,0,0,1,0
201,0,1,2,1,0,1,1,1
202,1,0,1,2,0,0,1,0
203,0,0,4,4,0,1,1,1
204,0,0,1,4,0,0,1,0
205,0,1,0,2,0,0,1,0
206,1,1,1,2,0,1,0,1
207,1,0,1,3,0,1,1,1
208,0,1,2,0,0,1,1,1
209,1,1,0,0,0,0,1,0
210,1,1,3,4,0,1,1,1
211,1,0,2,4,0,1,1,1
212,0,1,0,2,0,0,1,0
213,0,1,3,0,0,0,1,0
214,0,1,4,2,0,1,1,1
215,0,1,1,3,0,1,1,1
216,0,0,3,3,0,0,1,0
217,1,0,0,1,0,0,0,0
218,1,1,0,2,0,1,0,1
219,0,1,2,5,1,1,1,0
220,1,1,1,3,0,0,1,0
221,0,0,1,4,0,0,1,0
222,1,1,2,1,0,0,1,0
223,1,1,3,4,1,1,1,0
224,0,1,3,5,0,0,1,0
225,0,1,4,1,0,1,1,1
226,1,1,3,1,0,1,1,1
227,1,1,1,1,0,1,0,1
228,0,1,3,4,1,1,1,0
229,1,0,3,2,0,0,1,0
230,1,0,2,3,0,0,1,0
231,0,1,4,1,0,1,1,1
232,1,1,3,2,1,0,0,0
233,1,1,3,2,0,1,1,1
234,0,1,3,1,0,1,0,1
235,1,1,3,0,0,1,1,1
236,1,0,2,3,0,1,1,1
237,0,0,3,4,0,1,0,1
238,1,1,3,3,0,1,1,1
239,1,1,2,3,0,1,1,1
240,1,0,1,2,0,0,1,0
241,1,1,3,2,0,0,0,0
242,0,0,2,4,0,1,1,1
243,1,1,3,5,1,1,1,1
244,0,0,3,2,0,1,0,1
245,1,0,3,3,0,1,1,1
246,0,1,2,3,0,1,1,1
247,1,1,1,5,1,1,1,1
248,0,0,2,5,0,1,0,1
249,0,1,2,2,0,0,1,0
250,1,1,2,2,0,0,1,0
251,1,1,2,4,1,1,1,0
252,1,1,1,1,0,1,0,1
253,1,1,2,0,0,0,1,0
254,1,1,3,1,0,0,1,0
255,1,0,1,1,0,0,0,0
256,0,0,3,3,0,0,1,0
257,0,1,1,3,0,1,1,1
258,0,0,4,5,0,1,1,1
259,1,1,2,4,0,1,1,1
260,0,0,4,2,0,1,1,1
261,1,1,3,5,1,1,1,1
262,0,1,1,4,1,1,1,1
263,0,0,3,5,0,1,1,1
264,0,1,2,3,0,1,1,1
265,0,0,2,1,0,0,1,0
266,1,0,3,4,0,0,0,0
267,1,0,1,3,0,0,1,0
268,0,1,3,2,1,1,1,1
269,0,1,3,0,0,1,1,1
270,1,1,2,2,0,0,1,0
271,1,1,3,4,1,1,1,1
272,0,1,0,0,0,1,0,1
273,1,1,0,1,0,0,0,0
274,0,0,3,4,0,1,1,1
275,0,1,1,4,0,1,1,1
276,0,0,3,5,1,1,1,1
277,1,1,4,1,0,1,0,1
278,0,1,4,0,0,0,1,0
279,1,1,2,3,0,1,1,1
280,0,1,2,3,0,1,1,1
281,1,1,3,1,0,1,1,1
282,0,1,3,0,0,1,1,1
283,1,1,3,3,0,1,0,1
284,0,1,4,5,0,1,1,1
285,0,0,2,3,0,1,0,1
286,1,1,3,5,0,1,1,1
287,1,0,3,2,0,0,1,0
288,0,0,1,2,0,0,1,0
289,1,1,2,2,0,1,1,1
290,1,0,1,1,0,0,1,0
291,1,1,2,3,0,1,1,1
292,0,0,4,2,0,0,1,0
293,0,1,1,5,0,0,1,0
294,1,0,3,3,0,0,0,0
295,0,1,3,3,0,1,1,1
296,1,0,1,3,0,1,1,1
297,1,0,4,3,0,0,0,0
298,0,0,3,1,0,0,1,0
299,0,1,0,3,0,1,0,1
300,1,1,0,2,0,0,1,0
301,0,0,1,2,0,0,1,0
302,1,1,2,4,0,1,1,1
303,1,0,2,1,0,1,1,1
304,1,1,1,4,0,1,1,1
305,1,0,4,2,1,0,0,1
306,0,0,1,3,0,1,0,1
307,0,1,2,5,0,1,1,1
308,1,0,3,4,1,1,1,1
309,0,0,1,3,0,1,1,1
310,0,0,0,5,0,1,1,1
311,1,1,2,4,0,1,1,1
312,0,1,4,2,1,1,1,1
313,1,1,0,3,0,1,1,1
314,1,0,2,1,0,1,1,1
315,1,0,2,1,0,0,1,0
316,0,1,1,0,0,1,1,1
317,1,1,3,3,0,1,1,1
318,0,0,4,3,0,1,1,1
319,0,1,0,4,0,1,1,1
320,0,1,2,1,0,1,0,1
321,0,1,1,2,0,0,0,0
322,1,1,3,2,0,0,1,0
323,0,1,3,0,0,1,1,1
324,1,1,1,1,0,1,1,1
325,0,0,2,4,1,1,1,0
326,0,1,3,4,1,1,1,1
327,0,1,3,3,0,1,1,1
328,1,1,1,2,0,0,1,0
329,0,1,3,0,0,1,0,1
330,1,0,4,1,0,1,1,1
331,0,0,0,1,0,0,0,0
332,1,0,3,1,0,0,1,0
333,0,1,3,2,0,1,1,1
334,1,1,4,1,0,1,1,1
335,1,1,0,3,0,0,0,0
336,0,0,1,4,0,1,0,1
337,0,1,2,2,0,1,1,1
338,0,1,4,4,0,1,1,1
339,0,1,4,3,0,1,1,1
340,1,1,3,4,0,1,1,1
341,1,0,4,2,0,1,1,1
342,0,0,4,3,0,1,1,1
343,0,1,1,5,0,1,1,1
344,0,1,2,3,0,1,1,1
345,1,1,2,0,0,0,1,0
346,0,0,4,2,0,1,0,1
347,1,1,2,5,0,1,1,1
348,1,1,1,0,0,1,0,1
349,1,1,1,3,0,1,1,1
350,0,1,2,3,1,1,1,0
351,1,1,3,2,0,0,1,0
352,0,0,3,4,0,1,1,1
353,0,1,3,3,0,1,1,1
354,0,1,4,3,0,1,1,1
355,1,0,2,4,0,1,0,1
356,1,0,1,2,0,1,1,1
357,0,0,4,1,0,0,0,0
358,1,1,4,3,0,1,1,1
359,1,1,1,3,0,1,1,1
360,1,0,2,3,0,1,1,1
361,1,1,1,2,0,0,1,0
362,0,1,2,4,1,0,0,1
363,0,1,2,4,0,1,1,1
364,1,0,1,4,0,1,1,1
365,1,1,0,5,1,1,1,1
366,1,1,1,1,0,0,1,0
367,0,0,3,4,0,1,1,1
368,1,1,2,1,0,0,1,0
369,0,0,0,3,0,0,1,0
370,0,0,2,2,0,0,1,0
371,1,1,3,1,0,0,1,0
372,0,0,3,3,1,0,0,0
373,0,1,4,3,1,1,1,0
374,1,1,2,5,0,0,1,0
375,1,1,3,4,0,1,1,1
376,0,1,0,4,1,1,1,1
377,1,1,1,4,0,0,1,0
378,1,0,0,3,0,1,0,1
379,0,1,4,4,0,1,1,1
380,0,0,2,2,0,1,1,1
381,0,1,2,2,0,0,1,0
382,0,1,3,2,0,1,1,1
383,0,1,2,0,0,0,0,0
384,1,1,1,4,1,1,1,1
385,1,1,3,0,0,1,0,1
386,1,1,4,0,0,0,0,0
387,1,0,1,3,0,0,1,0
388,1,1,0,1,0,0,0,0
389,1,0,1,3,0,1,1,1
390,1,1,1,5,1,1,1,1
391,1,1,2,4,0,1,0,1
392,0,1,1,2,0,1,1,1
393,0,0,0,5,0,0,1,0
394,1,1,0,3,0,0,1,0
395,0,1,2,5,0,1,1,1
396,1,1,2,1,0,0,1,0
397,0,0,0,1,0,0,0,0
398,1,1,4,4,0,0,1,0
399,1,0,3,2,0,0,1,0
400,1,1,3,1,0,0,1,0
401,1,1,1,2,0,0,0,0
402,1,1,3,0,0,1,1,1
403,1,0,1,4,0,0,1,0
404,1,1,2,4,1,1,1,1
405,1,0,1,5,0,1,1,1
406,1,0,1,0,0,0,1,0
407,0,1,2,1,0,1,0,1
408,1,0,2,3,0,0,1,0
409,0,0,1,4,0,1,1,1
410,1,1,1,4,0,1,1,1
411,0,1,3,2,0,1,1,1
412,0,1,3,4,0,1,1,1
413,0,1,2,2,0,1,1,1
414,1,1,2,4,1,0,0,1
415,0,0,2,0,0,0,1,0
416,0,1,0,4,0,1,1,1
417,1,1,3,1,0,1,0,1
418,1,0,1,3,0,1,1,1
419,1,0,1,4,0,0,1,0
420,1,1,4,3,1,1,1,0
421,0,1,3,4,1,1,1,1
422,0,0,3,4,0,1,1,1
423,0,1,0,3,0,1,0,1
424,0,0,2,2,0,0,0,0
425,0,0,0,3,0,0,1,0
426,1,0,2,1,0,1,0,1
427,1,1,4,0,0,1,1,1
428,1,0,4,2,0,1,1,1
429,1,1,1,3,0,1,1,1
430,1,1,3,4,0,0,1,0
431,1,1,1,1,0,1,1,1
432,0,0,4,1,0,1,1,1
433,1,0,0,4,0,1,0,1
434,1,0,2,1,0,1,1,1
435,1,1,1,3,0,1,1,1
436,0,1,0,5,1,1,1,1
437,1,0,3,0,0,0,0,0
438,0,0,1,0,0,1,1,1
439,1,0,3,1,0,0,1,0
440,0,1,1,5,1,1,1,0
441,0,0,3,2,0,0,1,0
442,0,1,1,0,0,0,0,0
443,0,0,2,1,0,0,1,0
444,0,0,0,5,0,1,1,1
445,1,0,2,2,0,0,1,0
446,0,1,4,0,0,1,1,1
447,0,1,0,2,0,0,0,0
448,1,0,2,5,0,0,1,0
449,1,1,4,1,0,1,1,1
450,1,1,4,5,1,1,1,1
451,0,1,2,4,1,1,1,1
452,1,0,2,4,0,0,1,0
453,1,1,3,3,0,0,1,0
454,0,1,3,2,0,1,1,1
455,1,1,2,4,1,1,1,0
456,0,1,4,5,1,1,1,1
457,1,0,1,5,0,1,1,1
458,0,0,3,1,0,1,1,1
459,0,1,4,3,0,1,1,1
460,1,1,0,3,0,1,1,1
461,0,1,2,1,0,1,0,1
462,1,1,1,2,0,0,1,0
463,0,1,2,5,1,1,1,1
464,1,1,3,4,0,1,1,1
465,1,1,0,2,0,0,0,0
466,1,0,3,1,0,0,1,0
467,0,1,4,2,0,0,1,0
468,1,0,0,1,0,1,0,1
469,0,0,2,3,0,1,0,1
470,1,0,3,4,0,0,1,0
471,0,1,3,1,0,1,1,1
472,0,1,2,5,1,1,1,1
473,0,0,3,3,0,1,0,1
474,0,0,1,2,0,0,1,0
475,1,1,1,2,0,1,1,1
476,0,1,1,1,0,1,1,1
477,0,1,0,4,0,1,1,1
478,0,1,4,2,0,1,1,1
479,0,1,2,2,0,0,1,0
480,0,0,3,4,0,1,0,1
481,0,0,0,0,0,1,1,1
482,1,1,3,0,0,1,1,1
483,0,0,3,4,0,1,1,1
484,1,1,3,4,0,1,1,1
485,0,1,1,1,0,1,1,1
486,0,1,1,3,0,0,1,0
487,1,0,3,2,0,1,0,1
488,1,0,2,4,0,1,0,1
489,0,1,0,4,0,1,1,1
490,0,1,1,3,0,1,0,1
491,1,1,2,2,0,0,1,0
492,0,1,2,0,0,0,1,0
493,1,0,2,4,0,0,1,0
494,0,0,3,3,0,0,1,0
495,0,1,0,2,0,0,0,0
496,0,0,3,2,0,0,1,0
497,0,1,3,4,0,1,1,1
498,0,1,2,2,0,0,1,0
499,0,1,3,4,0,1,1,1
500,1,1,3,3,1,1,1,0
501,0,1,3,1,0,1,1,1
502,1,1,3,2,0,1,1,1
503,0,0,1,1,0,0,1,0
504,1,0,3,2,0,1,1,1
505,1,0,2,3,0,1,0,1
506,0,1,3,5,1,1,1,1
507,1,1,3,1,0,0,1,0
508,0,0,1,3,0,1,0,1
509,1,0,3,1,0,0,1,0
510,1,1,1,1,0,0,1,0
511,0,0,4,2,0,0,0,0
512,0,1,0,5,1,1,1,1
513,0,0,3,3,0,1,1,1
514,1,0,0,2,0,1,1,1
515,0,1,1,5,0,1,1,1
516,0,1,3,5,0,1,1,1
517,0,1,4,3,0,1,1,1
518,0,0,3,1,0,1,1,1
519,0,1,3,3,1,1,1,0
520,1,0,1,1,0,1,1,1
521,1,0,3,1,0,0,1,0
522,1,1,2,1,0,1,1,1
523,1,0,4,4,0,1,1,1
524,0,1,4,2,0,0,1,0
525,0,1,2,0,0,1,0,1
526,0,1,3,3,0,0,1,0
527,0,1,2,4,0,1,1,1
528,1,1,2,1,0,1,1,1
529,1,0,2,4,0,0,1,0
530,1,1,4,1,0,1,0,1
531,0,1,1,3,0,1,1,1
532,1,1,3,3,0,1,1,1
533,1,1,3,3,0,1,1,1
534,0,1,2,2,0,1,0,1
535,1,0,1,4,1,0,0,1
536,0,1,4,4,0,1,1,1
537,1,1,2,5,1,1,1,1
538,1,1,4,2,0,0,1,0
539,1,1,1,2,0,0,1,0
540,1,1,3,3,0,1,1,1
541,0,1,2,5,1,1,1,1
542,0,0,1,2,0,0,0,0
543,0,1,2,2,0,1,1,1
544,1,0,1,2,0,1,0,1
545,1,0,3,1,0,0,1,0
546,1,0,1,4,0,0,1,0
547,0,1,1,3,0,1,1,1
548,1,0,2,5,0,1,1,1
549,1,1,3,4,1,1,1,1
550,0,1,3,1,0,1,0,1
551,1,1,2,3,0,1,1,1
552,0,1,4,4,1,1,1,1
553,1,0,1,1,0,1,0,1
554,1,1,4,2,0,1,1,1
555,1,0,0,1,0,0,1,0
556,0,1,1,1,0,0,0,0
557,0,1,0,3,0,1,1,1
558,1,1,3,3,0,1,1,1
559,1,0,4,1,0,1,1,1
560,1,0,1,1,0,1,0,1
561,0,0,3,2,0,1,1,1
562,0,0,0,2,0,0,1,0
563,1,0,2,2,0,1,1,1
564,1,1,4,5,1,0,0,1
565,1,0,3,2,0,1,1,1
566,0,1,3,4,1,1,1,1
567,0,1,4,4,0,0,1,0
568,1,1,4,5,1,1,1,1
569,0,1,4,1,0,1,1,1
570,0,1,2,4,1,1,1,1
571,1,0,1,2,0,0,1,0
572,0,0,1,3,0,0,1,0
573,1,0,3,4,0,0,1,0
574,0,1,3,1,0,1,1,1
575,0,1,1,4,1,1,1,1
576,0,0,0,2,0,0,0,0
577,1,0,2,3,1,1,1,0
578,1,0,2,1,0,1,1,1
579,1,1,1,4,0,1,1,1
580,1,0,4,1,0,0,0,0
581,0,0,1,4,0,0,1,0
582,1,1,2,3,0,0,1,0
583,1,0,3,1,0,0,0,0
584,0,1,2,2,0,1,1,1
585,1,0,3,4,0,1,1,1
586,0,1,1,4,1,1,1,1
587,1,1,2,1,0,0,1,0
588,1,1,2,3,1,1,1,1
589,1,1,2,1,0,0,1,0
590,1,1,0,3,0,1,1,1
591,0,1,4,5,0,1,1,1
592,1,1,2,4,0,1,1,1
593,1,1,1,1,0,1,0,1
594,1,0,4,0,0,0,1,0
595,0,0,3,1,0,0,1,0
596,1,0,1,0,0,0,0,0
597,1,1,4,1,0,1,1,1
598,1,0,0,2,1,0,0,1
599,0,1,1,1,0,1,1,1
600,1,1,2,2,0,1,1,1
601,1,1,4,3,0,1,1,1
602,1,1,0,0,0,0,0,0
603,1,1,0,5,1,1,1,1
604,0,1,1,5,1,1,1,1
605,1,1,1,3,0,0,0,0
606,1,0,2,2,0,1,1,1
607,1,0,3,2,0,0,1,0
608,1,1,0,0,0,1,1,1
609,0,1,0,2,0,1,1,1
610,0,1,0,3,0,1,0,1
611,1,1,2,1,0,1,1,1
612,0,1,2,0,0,1,1,1
613,1,0,3,0,0,0,1,0
614,0,1,4,3,0,1,1,1
615,1,1,0,5,0,1,1,1
616,0,0,0,1,0,1,1,1
617,0,1,2,3,0,1,0,1
618,1,1,2,2,0,0,1,0
619,1,1,1,3,0,1,1,1
620,1,1,3,4,1,1,1,1
621,1,1,3,5,1,1,1,1
622,1,1,3,5,1,1,1,1
623,1,1,4,0,0,1,1,1
624,0,1,4,1,0,1,0,1
625,1,1,3,4,0,0,1,0
626,0,1,1,1,0,1,1,1
627,0,1,2,2,0,1,1,1
628,1,0,1,3,0,0,0,0
629,1,1,3,0,0,0,1,0
630,0,0,4,1,0,1,1,1
631,1,0,4,1,0,0,1,0
632,0,1,1,2,0,0,0,0
633,0,0,1,3,0,1,1,1
634,1,1,2,1,0,1,1,1
635,1,0,4,5,0,1,1,1
636,1,0,0,1,0,0,0,0
637,0,1,3,4,1,1,1,0
638,1,1,1,1,0,1,1,1
639,0,0,4,3,0,1,1,1
640,0,1,4,3,0,1,1,1
641,1,0,2,3,0,0,1,0
642,1,0,3,2,0,0,1,0
643,1,0,1,2,0,0,1,0
644,0,1,2,2,0,0,1,0
645,1,1,0,1,0,0,1,0
646,1,1,1,3,1,1,1,1
647,0,1,3,3,0,1,1,1
648,1,1,2,4,0,1,1,1
649,1,1,3,2,0,1,0,1
650,0,0,3,2,0,1,1,1
651,0,1,3,4,1,1,1,1
652,1,0,4,3,0,0,0,0
653,0,0,2,4,0,1,1,1
654,1,0,3,0,0,0,0,0
655,1,1,1,1,0,0,0,0
656,1,0,1,1,0,0,1,0
657,1,1,0,5,0,0,1,0
658,0,1,2,3,1,1,1,1
659,0,1,4,2,0,1,1,1
660,1,1,2,4,1,1,1,1
661,1,1,1,4,0,0,1,0
662,0,1,1,2,0,1,1,1
663,1,1,0,0,0,0,1,0
664,1,0,1,0,0,0,0,0
665,1,1,1,1,0,0,1,0
666,1,1,2,2,0,1,1,1
667,0,0,0,5,0,1,1,1
668,0,1,2,5,0,1,1,1
669,0,1,0,3,0,1,0,1
670,1,1,4,5,1,1,1,0
671,0,1,2,3,0,1,1,1
672,0,1,3,0,0,0,1,0
673,1,1,1,2,0,1,0,1
674,1,0,2,3,0,0,1,0
675,1,1,0,5,0,0,1,0
676,1,0,0,1,0,0,0,0
677,0,1,0,4,0,1,1,1
678,0,1,1,5,1,1,1,1
679,0,1,1,2,0,0,0,0
680,0,0,1,1,0,0,0,0
681,0,1,2,2,1,1,1,0
682,0,1,3,2,0,0,1,0
683,0,0,1,1,0,0,0,0
684,0,1,3,2,0,1,1,1
685,0,1,1,5,0,1,1,1
686,1,0,3,2,0,0,1,0
687,1,1,2,1,0,1,0,1
688,1,1,1,2,0,1,1,1
689,1,1,1,0,0,1,0,1
690,1,1,0,4,1,1,1,1
691,0,1,1,2,0,1,1,1
692,0,1,3,3,0,0,1,0
693,0,1,2,3,0,0,1,0
694,1,1,0,3,0,1,1,1
695,0,0,0,3,0,1,1,1
696,0,1,3,0,0,1,1,1
697,1,1,2,2,0,0,1,0
698,1,1,1,1,0,1,0,1
699,1,1,1,3,0,1,1,1
700,0,0,1,1,0,1,1,1
701,1,1,3,4,0,1,1,1
702,0,0,3,1,0,1,1,1
703,0,1,3,1,0,0,0,0
704,1,1,3,1,0,1,1,1
705,0,0,4,4,0,1,1,1
706,1,1,0,0,0,1,0,1
707,1,1,2,4,1,1,1,0
708,1,1,3,3,0,1,1,1
709,1,0,4,4,1,1,1,0
710,0,0,1,5,0,1,1,1
711,0,1,0,2,0,1,1,1
712,1,1,2,0,0,1,0,1
713,0,1,2,4,0,1,1,1
714,0,0,2,1,0,1,1,1
715,1,0,3,5,0,1,1,1
716,0,0,1,3,0,1,0,1
717,1,1,1,2,0,1,1,1
718,0,1,1,2,0,1,1,1
719,1,0,2,3,0,0,1,0
720,0,0,2,5,1,1,1,0
721,1,1,3,4,1,1,1,1
722,1,0,1,5,0,1,1,1
723,0,1,3,5,1,1,1,1
724,0,1,0,1,0,1,0,1
725,1,1,0,0,0,0,0,0
726,0,1,4,4,0,0,1,0
727,1,1,3,3,0,1,0,1
728,0,1,0,4,0,1,1,1
729,1,1,2,1,0,0,0,0
730,0,0,4,5,1,1,1,1
731,0,1,1,4,1,1,1,1
732,0,0,1,4,0,0,1,0
733,0,1,3,0,0,0,1,0
734,1,0,4,2,0,0,1,0
735,1,1,2,0,0,1,1,1
736,0,0,0,1,0,1,0,1
737,0,1,3,2,0,1,1,1
738,0,0,1,4,0,0,1,0
739,1,1,1,4,0,1,1,1
740,0,1,4,0,0,1,1,1
741,1,1,2,1,0,1,1,1
742,1,1,2,4,0,1,0,1
743,1,1,0,4,0,0,1,0
744,1,1,1,3,0,0,1,0
745,0,1,4,0,0,1,1,1
746,0,0,4,4,1,1,1,0
747,0,1,2,5,0,1,1,1
748,0,0,2,4,1,1,1,1
749,1,1,0,1,0,0,1,0
750,0,1,0,3,0,1,1,1
751,1,0,0,1,0,0,1,0
752,1,1,3,1,0,1,1,1
753,1,1,1,1,0,0,0,0
754,1,1,1,2,0,1,1,1
755,0,0,2,0,0,0,0,0
756,1,1,2,4,0,1,1,1
757,0,1,4,3,0,1,1,1
758,0,1,0,4,0,1,0,1
759,0,0,3,4,0,0,1,0
760,1,1,2,1,0,1,1,1
761,0,1,1,4,0,1,1,1
762,0,0,1,3,0,0,1,0
763,1,1,2,2,0,1,1,1
764,0,1,4,1,1,1,1,0
765,0,1,3,3,1,1,1,0
766,0,1,0,2,0,1,1,1
767,1,1,1,4,0,0,0,0
768,0,0,3,5,0,1,0,1
769,1,0,3,3,0,0,1,0
770,1,1,1,1,0,1,0,1
771,1,1,3,2,0,0,1,0
772,0,1,4,5,1,1,1,1
773,1,0,0,1,0,1,0,1
774,0,0,4,3,0,1,1,1
